BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-01-13,ТРК ао,TORS,8.0,248360.0,0.388,0.388,0.389,0.388,0.388,0.388,640000.0,,0.388,0.388,0.0,500010.0,0.0,0.0,3
TQBR,2021-01-13,ТРК ап,TORSP,28.0,109315.0,0.287,0.285,0.29,0.29,0.2875,0.29,380000.0,,0.2855,0.29,0.0,500025.0,0.0,0.0,3
SMAL,2021-01-13,ТМК ао,TRMK,1.0,57.12,57.12,57.12,57.12,,61.86,57.12,1.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТМК ао,TRMK,1038.0,8700959.6,62.2,61.5,62.8,61.78,61.86,61.78,140660.0,61.86,61.86,61.78,8700959.6,8700959.6,8700959.6,0.0,3
TQBR,2021-01-13,Транснф ап,TRNFP,1239.0,339766350.0,145700.0,144750.0,146900.0,146200.0,145500.0,146000.0,2335.0,145450.0,145450.0,146200.0,300319700.0,300319700.0,300319700.0,0.0,3
TQTF,2021-01-13,TRUR ETF,TRUR,182163.0,267471045.53,6.02,6.008,6.034,6.02,6.022,6.022,44421332.0,6.022,6.022,6.02,267471045.53,267471045.53,267471045.53,204614122.41,3
TQTD,2021-01-13,TSPX ETF,TSPX,6369.0,427928.77,0.0977,0.097,0.0977,0.0976,0.0975,0.0975,4388987.0,7.241,7.241,0.0976,31780687.18,31780687.18,31780687.18,327913.07,3
SMAL,2021-01-13,Таттел. ао,TTLK,5.0,107.25,0.55,0.55,0.55,,0.4755,0.55,195.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Таттел. ао,TTLK,145.0,1807275.0,0.479,0.471,0.479,0.4755,0.4755,0.4755,3800000.0,0.4755,0.4755,0.4755,1807275.0,1807275.0,1807275.0,0.0,3
TQPI,2021-01-13,ТКСМ ао,TUCH,431.0,1015683.54,2.892,2.876,2.906,2.898,2.892,2.898,351100.0,2.892,2.892,2.898,1015683.54,1015683.54,1015683.54,0.0,3
