timestamp,open (RUB),high (RUB),low (RUB),close (RUB),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-05-30,661511.65500000,683504.50000000,654819.06525000,680537.50100000,9426.60000000,9740.00000000,9331.23000000,9697.72000000,55665.27254000,55665.27254000
2020-05-31,677160.75489600,677319.96000000,655073.83978800,659742.45963600,9697.72000000,9700.00000000,9381.41000000,9448.27000000,48333.78640300,48333.78640300
2020-06-01,651404.36136100,715641.83400000,649570.44298100,703284.94711100,9448.27000000,10380.00000000,9421.67000000,10200.77000000,76649.12696000,76649.12696000
2020-06-02,699264.25756800,701065.41281900,635064.86126000,652338.95446400,10202.71000000,10228.99000000,9266.00000000,9518.04000000,108970.77315100,108970.77315100
2020-06-03,655868.67396200,667719.48900000,645338.82720100,666082.23254400,9518.02000000,9690.00000000,9365.21000000,9666.24000000,46252.64493900,46252.64493900
2020-06-04,665098.97731900,679913.55627000,650214.90450000,673544.20243900,9666.32000000,9881.63000000,9450.00000000,9789.06000000,57456.10096900,57456.10096900
2020-06-05,672259.24334000,676834.08475000,658032.66100000,660790.88996000,9788.14000000,9854.75000000,9581.00000000,9621.16000000,47788.05005000,47788.05005000
2020-06-06,659588.93052000,667392.66000000,653410.66380000,662682.86280000,9621.17000000,9735.00000000,9531.05000000,9666.30000000,32752.95089300,32752.95089300
2020-06-07,660992.42582600,670233.60846000,640862.85308600,666472.17703800,9666.85000000,9802.00000000,9372.46000000,9746.99000000,57952.84838500,57952.84838500
2020-06-08,667543.66364800,671174.16800000,659736.81228000,669942.08399200,9746.99000000,9800.00000000,9633.00000000,9782.01000000,40664.66412500,40664.66412500
2020-06-09,671862.38828000,678387.32458000,657301.47780000,671205.08680200,9782.00000000,9877.00000000,9570.00000000,9772.43000000,46024.00128900,46024.00128900
2020-06-11,692066.22924400,697581.63280000,638002.95260000,649722.66008000,9885.22000000,9964.00000000,9113.00000000,9280.40000000,94418.98473000,94418.98473000
2020-06-12,648083.37360000,667517.04640000,644844.66095000,661092.00485000,9278.88000000,9557.12000000,9232.51000000,9465.13000000,50119.06693200,50119.06693200
