BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQIR,2021-06-09,ОАЭ  БО-П1,RU000A0ZZWJ3,47.0,781171.3,102.82,103.2,102.99,102.99,6.4,103.06,11.11,103.09,758.0,103.06,103.06,102.99,781171.3,781171.3,781171.3,2023-02-12,342.0,11.03,,,13.75,11.3,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберИОС44,RU000A0ZZWX4,2.0,1808100.0,126.0,126.0,126.0,126.0,,126.0,,126.0,1435.0,,125.54,126.0,0.0,6502784.0,0.0,2022-06-16,,,,,1.35,47.6,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберБ Б52R,RU000A0ZZWZ9,79.0,4693686.8,101.22,101.77,101.33,101.33,28.01,101.46,6.45,101.77,4626.0,101.46,101.46,101.33,4693686.8,4693686.8,4693686.8,2022-02-07,236.0,6.24,,,8.45,42.13,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,РЖД 1Р-10R,RU000A0ZZX19,11.0,105721.1,102.59,102.65,102.64,102.64,1.2,102.64,6.03,102.59,103.0,,102.62,102.64,0.0,535663.7,0.0,2022-06-03,351.0,6.03,,,8.75,43.63,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ПР-Лиз 1P2,RU000A0ZZX35,35.0,722636.7,101.0,101.45,101.35,101.35,0.58,101.07,7.89,101.43,715.0,101.07,101.07,101.35,722636.7,722636.7,722636.7,2021-12-06,178.0,8.51,,,10.5,26.18,,2021-06-09,1000.0,SUR,,-23.9593,,2021-06-28,RUB,3
TQCB,2021-06-09,ГПБ001P03P,RU000A0ZZXM5,23.0,1035535.0,102.0,103.48,102.15,102.15,43.65,102.22,6.82,103.48,1013.0,102.22,102.22,102.15,1035535.0,1035535.0,1035535.0,2022-06-13,346.0,6.75,,,8.95,44.63,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ВсИнстрБО1,RU000A0ZZXT0,69.0,1308120.2,100.17,100.32,100.25,100.25,22.19,100.24,8.76,100.3,1305.0,100.24,100.24,100.25,1308120.2,1308120.2,1308120.2,2021-12-09,177.0,8.78,,,9.0,22.44,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQOD,2021-06-09,РСХБ 11В1,RU000A0ZZY59,3.0,8604.51,122.0972,124.9826,124.9826,124.9826,43.64,122.9217,5.03,122.0973,7.0,123.5912,123.712,124.9826,4350502.46,1717918.66,4350502.46,,,5.33,,,9.0,44.88,2028-12-04,2021-06-09,1000.0,USD,,,,,USD,3
TQCB,2021-06-09,Калсб 1P01,RU000A0ZZYL5,50.0,451139.5,101.1,101.3,101.11,101.11,63.04,101.15,10.98,101.15,446.0,,101.12,101.11,0.0,599654.4,0.0,2023-12-11,176.0,10.9,,,13.0,64.82,2021-12-13,2021-06-09,1000.0,SUR,,10.5276,,2021-12-20,RUB,3
TQIR,2021-06-09,ОАЭ  БО-П2,RU000A0ZZYP6,17.0,40155.5,102.73,103.26,103.0,103.0,1.51,102.96,11.21,102.73,39.0,,103.2,103.0,0.0,500527.8,0.0,2023-02-25,355.0,11.25,,,13.75,11.3,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ИА ДОМ 8P2,RU000A0ZZZ09,8.0,141718.5,103.66,103.8,103.8,103.74,8.71,103.75,7.6198,103.66,291.0,,104.14,103.74,0.0,538339.03,0.0,2044-12-28,740.0,7.6449,,,9.28,10.98,2027-03-28,2021-06-09,469.45,SUR,,,,,RUB,3
