timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-01-26,603.4500,604.5000,590.3800,601.2500,601.2500,3765655,0.0000,1.0000
2016-01-27,601.9900,603.3900,578.7800,583.3500,583.3500,5152853,0.0000,1.0000
2016-01-28,608.3700,638.0600,597.5500,635.3500,635.3500,14015171,0.0000,1.0000
2016-01-29,571.9800,593.0000,570.0000,587.0000,587.0000,14677550,0.0000,1.0000
2016-02-01,578.1500,581.8000,570.3100,574.8100,574.8100,6355123,0.0000,1.0000
2016-02-02,570.0000,571.5600,550.0900,552.1000,552.1000,6312045,0.0000,1.0000
2016-02-03,553.5000,556.0000,521.9000,531.0700,531.0700,10048709,0.0000,1.0000
2016-02-04,525.0000,538.9900,519.2201,536.2600,536.2600,6199070,0.0000,1.0000
2016-02-05,529.2800,529.4500,499.1900,502.1300,502.1300,9708929,0.0000,1.0000
2016-02-08,486.4700,493.5000,475.2100,488.1000,488.1000,9825509,0.0000,1.0000
2016-02-09,478.0100,498.3800,474.0000,482.0700,482.0700,7077915,0.0000,1.0000
2016-02-10,491.7600,504.6600,486.0000,490.4800,490.4800,6786181,0.0000,1.0000
2016-02-11,491.1700,509.3000,484.0000,503.8200,503.8200,7397393,0.0000,1.0000
2016-02-12,510.7000,516.7500,501.4932,507.0800,507.0800,5384787,0.0000,1.0000
2016-02-16,519.4800,524.4500,511.6600,521.1000,521.1000,5118500,0.0000,1.0000
2016-02-17,528.7400,537.4800,519.3900,534.1000,534.1000,4824002,0.0000,1.0000
2016-02-18,541.1900,541.2000,523.7300,525.0000,525.0000,4735008,0.0000,1.0000
2016-02-19,520.7100,535.9500,515.3500,534.9000,534.9000,4974717,0.0000,1.0000
2016-02-22,542.2000,560.6500,541.0800,559.5000,559.5000,5566553,0.0000,1.0000
2016-02-23,555.5500,556.9100,545.3300,552.9400,552.9400,4050790,0.0000,1.0000
2016-02-24,545.7500,554.2700,533.1501,554.0400,554.0400,6231668,0.0000,1.0000
2016-02-25,555.5200,559.3900,545.2946,555.1500,555.1500,4525463,0.0000,1.0000
2016-02-26,560.1200,562.5000,553.1700,555.2300,555.2300,4877039,0.0000,1.0000
2016-02-29,554.0000,564.8100,552.5100,552.5200,552.5200,4145396,0.0000,1.0000
2016-03-01,556.2900,579.2500,556.0000,579.0400,579.0400,5038452,0.0000,1.0000
2016-03-02,581.7500,585.0000,573.7000,580.2100,580.2100,4582170,0.0000,1.0000
2016-03-03,577.9600,579.8660,573.1100,577.4900,577.4900,2741292,0.0000,1.0000
2016-03-04,581.0700,581.4000,571.0650,575.1400,575.1400,3416545,0.0000,1.0000
2016-03-07,573.5400,573.6300,555.5500,562.8000,562.8000,4932527,0.0000,1.0000
2016-03-08,557.8700,571.3500,554.7400,560.2600,560.2600,4679663,0.0000,1.0000
2016-03-09,559.5600,560.3500,550.1250,559.4700,559.4700,4377283,0.0000,1.0000
2016-03-10,566.7400,567.0000,547.9000,558.9300,558.9300,3919892,0.0000,1.0000
2016-03-11,566.9500,570.0600,562.7300,569.6100,569.6100,3771310,0.0000,1.0000
2016-03-14,567.0000,576.8900,563.0500,573.3700,573.3700,3454152,0.0000,1.0000
2016-03-15,571.0000,581.5200,567.0000,577.0200,577.0200,3876821,0.0000,1.0000
2016-03-16,576.6400,581.3200,571.1400,574.2700,574.2700,3537669,0.0000,1.0000
2016-03-17,569.5100,571.4000,555.0100,559.4400,559.4400,5928105,0.0000,1.0000
2016-03-18,560.9400,562.3300,546.0900,552.0800,552.0800,7296885,0.0000,1.0000
2016-03-21,548.9100,555.2400,538.5800,553.9800,553.9800,5155732,0.0000,1.0000
2016-03-22,545.1100,562.7600,545.0500,560.4800,560.4800,4000564,0.0000,1.0000
2016-03-23,561.0000,572.4800,558.1000,569.6300,569.6300,3983720,0.0000,1.0000
2016-03-24,567.1100,583.5500,567.0800,582.9500,582.9500,5185539,0.0000,1.0000
2016-03-28,584.4000,584.7500,575.5600,579.8700,579.8700,3121522,0.0000,1.0000
2016-03-29,580.1500,595.8500,576.5000,593.8600,593.8600,4392567,0.0000,1.0000
2016-03-30,596.7100,603.2400,595.0000,598.6900,598.6900,3890461,0.0000,1.0000
2016-03-31,599.2800,600.7500,592.2100,593.6400,593.6400,2681811,0.0000,1.0000
2016-04-01,590.4900,599.0300,588.3000,598.5000,598.5000,2917386,0.0000,1.0000
2016-04-04,599.0000,599.5000,590.5500,593.1900,593.1900,2470825,0.0000,1.0000
2016-04-05,590.7700,593.4700,585.2500,586.1400,586.1400,2308884,0.0000,1.0000
2016-04-06,587.5200,602.3900,587.5000,602.0800,602.0800,2849909,0.0000,1.0000
2016-04-07,598.7600,599.6000,589.0800,591.4300,591.4300,3189037,0.0000,1.0000
2016-04-08,594.3200,597.8600,589.0000,594.6000,594.6000,2591936,0.0000,1.0000
2016-04-11,596.1400,604.0000,594.9100,595.9300,595.9300,2704267,0.0000,1.0000
2016-04-12,598.4000,604.0600,592.3100,603.1700,603.1700,2641062,0.0000,1.0000
2016-04-13,607.6800,616.8100,605.2900,614.8200,614.8200,4228349,0.0000,1.0000
2016-04-14,615.0700,624.3800,615.0700,620.7500,620.7500,3512136,0.0000,1.0000
2016-04-15,621.9200,626.7700,618.1100,625.8900,625.8900,2887681,0.0000,1.0000
2016-04-18,625.3500,637.6400,624.9603,635.3500,635.3500,4360883,0.0000,1.0000
2016-04-19,637.1400,638.0100,620.8000,627.9000,627.9000,4055870,0.0000,1.0000
