BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
EQNL,2012-06-01,ТГК-11,TGKK,28.0,1502014.8,0.014499,0.014258,0.0145,0.0145,0.014484,0.0145,103700000.0,0.014484,0.014484,0.014484,1503308.61,1503308.61,1503308.61,
SMAL,2012-06-01,ТГК-11,TGKK,2.0,1293.81,0.014132,0.014132,0.014132,0.014132,0.014132,0.014132,91552.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ТГК-14,TGKN,137.0,299529.0,0.00108,0.001011,0.001107,0.001035,0.001044,0.001035,287000000.0,,0.001066,,0.0,523303.36,0.0,
SMAL,2012-06-01,ТГК-14,TGKN,24.0,602.61,0.00077,0.00077,0.00105,0.000917,0.001021,0.000917,590176.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,РН Холд ао,TNBP,1397.0,238852228.0,77.98,69.14,79.9,70.0,71.03,70.0,3362500.0,71.03,71.03,71.03,238862837.08,238862837.08,238862837.08,
SMAL,2012-06-01,РН Холд ао,TNBP,10.0,10609.08,72.0,66.8,96.0,69.0,69.34,69.0,153.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,РН Холд ап,TNBPP,852.0,72011538.0,70.9,64.49,71.97,66.29,66.89,66.5,1076600.0,66.89,66.89,66.89,72017654.8,72017654.8,72017654.8,
SMAL,2012-06-01,РН Холд ап,TNBPP,3.0,6116.8,63.0,62.9,64.7,64.7,63.72,64.7,96.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТРК ао,TORS,1.0,4450.0,0.445,0.445,0.445,0.445,0.445,0.445,10000.0,,0.4308,,0.0,545322.7,0.0,
EQNE,2012-06-01,"ПАО ""Томскэнергосбыт""",TOSB,13.0,58505.1,0.06401,0.06401,0.06745,0.06403,0.06429,0.06403,910000.0,,0.06405,,0.0,687426.5,0.0,
EQNE,2012-06-01,ТомскЭнСбп,TOSBP,5.0,15439.9,0.045,0.045,0.05,0.04997,0.04981,0.05,310000.0,,0.04797,,0.0,500781.79,0.0,
EQNL,2012-06-01,ТрансК ао,TRCN,45.0,2373139.2,3100.0,3000.0,3100.0,3097.7,3078.0,3095.0,771.0,3078.0,3078.0,3078.0,2373139.2,2373139.2,2373139.2,
EQBR,2012-06-01,ТМК ао,TRMK,389.0,10835146.3,90.9,88.0,92.0,91.0,90.78,91.0,119360.0,90.78,90.78,90.78,10835146.3,10835146.3,10835146.3,
EQNL,2012-06-01,Транснф ап,TRNFP,3522.0,476145632.0,43876.0,42100.0,44406.0,43079.0,43001.0,42680.0,11073.0,43000.0,43000.0,43000.0,477602102.08,477602102.08,477602102.08,
EQNE,2012-06-01,Таттел. ао,TTLK,83.0,1860407.9,0.16398,0.155,0.16399,0.15944,0.15847,0.15944,11740000.0,0.15847,0.15847,0.15847,1860857.82,1860857.82,1860857.82,
SMAL,2012-06-01,Таттел. ао,TTLK,2.0,449.92,0.161,0.1599,0.161,0.1599,0.16069,0.1599,2800.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТКСМ ао,TUCH,2159.0,5072582.5,4.28,3.92,4.57,4.1,4.2,4.08,1209140.0,4.2,4.2,4.2,5072582.5,5072582.5,5072582.5,
EQNE,2012-06-01,ТверЭнСб,TVSB,24.0,175028.8,0.4475,0.36,0.4795,0.3814,0.4488,0.3814,390000.0,,0.4227,,0.0,502044.02,0.0,
EQNE,2012-06-01,ТверЭнСб-п,TVSBP,13.0,121569.0,0.17,0.1698,0.2,0.1998,0.187,0.2,650000.0,,0.1879,,0.0,563589.15,0.0,
SMAL,2012-06-01,ТверЭнСб-п,TVSBP,5.0,927.13,0.2,0.19,0.2385,0.19,0.1973,0.19,4700.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,УАЗ ао,UAZA,6.0,18120.9,2.6,2.55,2.6199,2.6199,2.5887,2.6199,7000.0,,2.5575,,0.0,502948.44,0.0,
EQNE,2012-06-01,УдмуртЭС,UDSB,8.0,40868.4,1.5703,1.5702,1.575,1.5705,1.5719,1.5705,26000.0,,1.6116,,0.0,502017.7,0.0,
EQNE,2012-06-01,УМПО ао,UFMO,3.0,9770.0,23.001,23.001,24.9,24.9,24.425,24.9,400.0,25.127,25.031,25.127,783629.6,510629.4,783629.6,
EQNL,2012-06-01,iАвиастКао,UNAC,258.0,1609067.0,0.17009,0.16802,0.22698,0.17684,0.18559,0.17943,8670000.0,0.18559,0.18559,0.18559,1609067.0,1609067.0,1609067.0,
EQBR,2012-06-01,Уркалий-ао,URKA,19632.0,1453475657.8,230.11,225.94,234.0,233.51,231.39,233.92,6281550.0,231.39,231.39,231.39,1477765845.35,1477765845.35,1477765845.35,
